Datetime,SO2,CO,O3,NO2,PM10,PM25
2017010523,0.003,0.3,0.029,0.011,20,5
2017010524,0.004,0.4,0.029,0.01,10,4
2017010601,0.003,0.4,0.032,0.007,19,7
2017010602,0.004,0.3,0.034,0.006,14,4
2017010603,0.006,0.4,0.033,0.006,7,2
2017010604,0.006,0.4,0.033,0.005,13,3
2017010605,0.006,0.4,0.032,0.007,13,4
2017010606,0.007,0.4,0.027,0.012,15,3
2017010607,0.006,0.4,0.023,0.018,12,5
2017010608,0.007,0.5,0.016,0.028,15,5
2017010609,0.005,0.6,0.014,0.027,20,7
2017010610,0.003,0.4,0.021,0.018,16,8
2017010611,0.003,0.4,0.024,0.014,19,7
2017010612,0.003,0.3,0.028,0.01,21,6
2017010613,0.003,0.3,0.031,0.009,21,5
2017010614,0.003,0.3,0.033,0.008,21,6
2017010615,0.002,0.3,0.036,0.008,16,6
2017010616,0.003,0.3,0.035,0.009,30,7
2017010617,0.004,0.3,0.03,0.016,27,8
2017010618,0.006,0.7,0.012,0.04,41,11
2017010619,0.007,1.1,0.003,0.053,51,16
2017010620,0.005,0.7,0.005,0.044,52,20
2017010621,0.007,0.5,0.011,0.032,43,18
2017010622,0.009,0.9,0.006,0.04,33,16
2017010623,0.004,0.8,0.002,0.041,54,17
2017010624,0.003,0.7,0.002,0.034,68,21
2017010701,0.003,0.7,0.002,0.03,61,22
2017010702,0.003,0.7,0.003,0.027,37,23
2017010703,0.003,0.6,0.003,0.026,31,23
2017010704,0.003,0.6,0.003,0.025,33,23
2017010705,0.003,0.7,0.002,0.025,34,23
2017010706,0.003,0.7,0.002,0.025,30,23
2017010707,0.003,0.7,0.002,0.028,42,23
2017010708,0.003,0.8,0.002,0.032,47,22
2017010709,0.005,0.9,0.002,0.033,64,27
2017010710,0.005,0.8,0.004,0.032,53,32
2017010711,0.005,0.8,0.005,0.032,44,31
2017010712,0.004,0.6,0.007,0.031,61,30
2017010713,0.004,0.5,0.012,0.028,50,28
2017010714,0.004,0.6,0.008,0.045,61,25
2017010715,0.003,0.4,0.017,0.032,59,25
2017010716,0.003,0.3,0.025,0.021,48,23
2017010717,0.005,0.4,0.022,0.026,39,20
2017010718,0.008,0.6,0.014,0.036,45,19
2017010719,0.006,0.5,0.014,0.035,38,18
2017010720,0.004,0.6,0.019,0.031,44,19
2017010721,0.004,0.6,0.024,0.023,32,18
2017010722,0.005,0.7,0.023,0.024,44,17
2017010723,0.004,0.6,0.017,0.028,37,17
2017010724,0.008,0.7,0.017,0.025,45,21
2017010801,0.006,0.7,0.021,0.018,38,22
2017010802,0.004,0.5,0.027,0.012,37,22
2017010803,0.007,0.8,0.026,0.013,35,22
2017010804,0.004,0.4,0.03,0.01,30,21
2017010805,0.007,0.6,0.031,0.01,27,16
2017010806,0.004,0.4,0.031,0.011,28,14
2017010807,0.007,0.5,0.02,0.024,23,11
2017010808,0.005,0.4,0.022,0.021,20,11
2017010809,0.006,0.5,0.02,0.023,25,10
2017010810,0.006,0.7,0.01,0.035,33,13
2017010811,0.004,0.4,0.028,0.016,31,16
2017010812,0.003,0.3,0.035,0.009,17,10
2017010813,0.003,0.3,0.035,0.009,14,6
2017010814,0.002,0.3,0.037,0.007,11,3
2017010815,0.002,0.3,0.036,0.009,26,2
2017010816,0.002,0.2,0.037,0.009,28,2
2017010817,0.002,0.3,0.034,0.012,17,2
2017010818,0.002,0.3,0.034,0.011,20,5
2017010819,0.002,0.3,0.029,0.013,30,10
2017010820,0.003,0.4,0.026,0.014,32,9
2017010821,0.003,0.4,0.026,0.015,27,16
2017010822,0.003,0.3,0.027,0.014,34,21
2017010823,0.004,0.4,0.02,0.021,50,23
2017010824,0.003,0.4,0.022,0.017,54,25
2017010901,0.002,0.4,0.033,0.01,54,25
2017010902,0.002,0.5,0.036,0.008,56,24
2017010903,0.002,0.5,0.035,0.008,43,27
2017010904,0.002,0.5,0.035,0.008,55,28
2017010905,0.002,0.5,0.038,0.009,54,29
2017010906,0.003,0.5,0.041,0.008,52,31
2017010907,0.003,0.5,0.039,0.01,69,33
2017010908,0.003,0.6,0.033,0.017,68,35
2017010909,0.003,0.6,0.032,0.017,77,38
2017010910,0.004,0.7,0.027,0.022,77,41
2017010911,0.004,0.8,0.03,0.019,96,45
2017010912,0.004,0.7,0.036,0.014,68,46
2017010913,0.004,0.7,0.036,0.013,79,42
2017010914,0.004,0.6,0.039,0.013,76,40
2017010915,0.004,0.6,0.04,0.013,60,35
2017010916,0.003,0.4,0.038,0.013,48,31
2017010917,0.003,0.4,0.033,0.017,49,27
2017010918,0.003,0.3,0.03,0.02,57,25
2017010919,0.003,0.4,0.025,0.026,38,22
2017010920,0.004,0.5,0.02,0.032,44,20
2017010921,0.004,0.5,0.017,0.035,58,22
2017010922,0.004,0.5,0.025,0.025,64,26
2017010923,0.004,0.5,0.027,0.022,59,27
2017010924,0.004,0.6,0.01,0.035,62,27
2017011001,0.004,0.6,0.015,0.027,58,29
2017011002,0.004,0.4,0.032,0.01,48,29
2017011003,0.004,0.4,0.031,0.011,39,26
2017011004,0.004,0.4,0.027,0.013,41,24
2017011005,0.003,0.4,0.027,0.013,36,23
2017011006,0.004,0.3,0.027,0.013,34,19
2017011007,0.003,0.3,0.026,0.016,27,14
2017011008,0.004,0.4,0.016,0.028,25,9
2017011009,,,,,,
2017011010,,,,,,
2017011011,0.004,0.3,0.024,0.019,40,15
2017011012,0.003,0.3,0.026,0.016,28,15
2017011013,0.002,0.3,0.012,0.005,38,14
2017011014,0.003,0.4,0.03,0.012,44,13
2017011015,0.002,0.4,0.032,0.011,36,12
2017011016,0.003,0.5,0.028,0.014,38,15
2017011017,0.004,0.6,0.018,0.024,53,17
2017011018,0.003,0.6,0.016,0.027,46,19
2017011019,0.003,0.6,0.017,0.029,52,20
2017011020,0.003,0.4,0.029,0.016,32,20
2017011021,0.002,0.4,0.029,0.014,42,13
2017011022,0.002,0.4,0.03,0.012,32,8
2017011023,0.002,0.4,0.029,0.012,24,6
2017011024,0.002,0.3,0.03,0.009,30,5
2017011101,0.002,0.4,0.03,0.008,14,4
2017011102,0.003,0.4,0.029,0.008,24,4
2017011103,0.003,0.4,0.027,0.008,24,5
2017011104,0.003,0.4,0.027,0.008,25,8
2017011105,0.003,0.4,0.026,0.009,19,7
2017011106,0.004,0.5,0.02,0.017,31,9
2017011107,0.006,0.6,0.007,0.033,27,9
2017011108,0.005,0.7,0.003,0.038,35,12
2017011109,0.005,0.8,0.005,0.036,44,18
2017011110,0.005,0.8,0.012,0.031,36,21
2017011111,0.004,0.6,0.021,0.021,19,19
2017011112,0.004,0.5,0.021,0.023,31,14
2017011113,0.005,0.5,0.024,0.02,31,11
2017011114,0.004,0.4,0.027,0.015,30,7
2017011115,0.003,0.4,0.028,0.012,39,8
2017011116,0.003,0.4,0.029,0.012,38,9
2017011117,0.003,0.4,0.026,0.015,18,8
2017011118,0.003,0.4,0.023,0.02,20,8
2017011119,0.004,0.7,0.016,0.029,31,8
2017011120,0.005,0.9,0.01,0.035,43,11
2017011121,0.004,0.6,0.014,0.029,48,14
2017011122,0.004,0.8,0.008,0.036,31,15
2017011123,0.004,0.6,0.02,0.019,34,16
2017011124,0.006,1.1,0.015,0.025,35,19
2017011201,0.006,1,0.013,0.026,34,17
2017011202,0.005,1,0.005,0.033,49,18
2017011203,0.005,1.1,0.005,0.033,40,21
2017011204,0.007,1.4,0.005,0.035,36,22
2017011205,0.006,1.1,0.005,0.034,30,22
2017011206,0.007,1.2,0.003,0.039,36,23
2017011207,0.007,1.5,0.002,0.046,34,22
2017011208,0.011,2.4,0.002,0.06,43,22
2017011209,0.012,2.1,0.003,0.062,58,24
2017011210,0.013,2.4,0.006,0.063,80,34
2017011211,0.005,0.6,0.022,0.021,64,35
2017011212,0.005,0.6,0.022,0.022,54,28
2017011213,0.005,0.8,0.016,0.027,88,29
2017011214,0.005,0.9,0.014,0.032,68,34
2017011215,0.005,0.8,0.025,0.023,64,31
2017011216,0.005,0.9,0.018,0.029,73,32
2017011217,0.005,0.9,0.014,0.034,78,39
2017011218,0.006,0.8,0.009,0.041,74,40
2017011219,0.005,0.8,0.014,0.037,63,31
2017011220,0.005,0.7,0.013,0.037,45,26
2017011221,0.004,0.6,0.016,0.033,43,21
2017011222,0.004,0.6,0.019,0.028,31,15
2017011223,0.003,0.5,0.018,0.027,26,11
2017011224,0.004,0.6,0.017,0.027,36,12
2017011301,0.004,0.5,0.02,0.023,26,11
2017011302,0.003,0.5,0.023,0.018,21,7
2017011303,0.003,0.5,0.027,0.013,24,9
2017011304,0.003,0.5,0.027,0.013,27,9
2017011305,0.004,0.7,0.011,0.026,32,9
2017011306,0.004,0.7,0.008,0.028,47,13
2017011307,0.004,0.7,0.004,0.033,24,16
2017011308,0.006,0.7,0.007,0.034,26,15
2017011309,0.008,0.9,0.007,0.036,24,14
2017011310,0.009,1.2,0.004,0.043,55,16
2017011311,0.005,0.9,0.006,0.042,45,20
2017011312,0.004,0.7,0.013,0.033,49,21
2017011313,0.003,0.5,0.019,0.023,45,19
2017011314,0.002,0.6,0.01,0.033,40,15
2017011315,0.003,0.6,0.009,0.033,46,18
2017011316,0.003,0.6,0.013,0.032,42,21
2017011317,0.003,0.4,0.025,0.021,35,20
2017011318,0.003,0.5,0.023,0.023,40,16
2017011319,0.003,0.5,0.023,0.022,23,12
2017011320,0.003,0.5,0.025,0.019,22,10
2017011321,0.003,0.5,0.026,0.016,34,9
2017011322,0.003,0.5,0.027,0.013,25,8
2017011323,0.003,0.5,0.026,0.013,32,6
2017011324,0.003,0.5,0.025,0.014,32,6
2017011401,0.003,0.5,0.029,0.009,57,7
2017011402,0.004,0.5,0.022,0.015,51,7
2017011403,0.004,0.6,0.026,0.01,44,9
2017011404,0.004,0.6,0.024,0.012,64,11
2017011405,0.004,0.6,0.024,0.012,67,12
2017011406,0.004,0.6,0.021,0.016,67,12
2017011407,0.004,0.6,0.021,0.016,64,14
2017011408,0.003,0.6,0.015,0.022,71,14
2017011409,0.003,0.7,0.016,0.022,66,13
2017011410,0.004,0.6,0.018,0.02,51,10
2017011411,0.003,0.6,0.022,0.015,44,10
2017011412,0.002,0.5,0.027,0.01,34,7
2017011413,0.002,0.4,0.028,0.009,39,7
2017011414,0.002,0.5,0.029,0.009,21,6
2017011415,0.002,0.5,0.029,0.009,22,5
2017011416,0.003,0.5,0.028,0.009,26,6
2017011417,0.003,0.5,0.026,0.011,29,6
2017011418,0.003,0.5,0.024,0.014,33,7
2017011419,0.002,0.5,0.022,0.017,27,9
2017011420,0.002,0.6,0.024,0.014,33,9
2017011421,0.003,0.6,0.023,0.014,34,8
2017011422,0.003,0.6,0.026,0.011,52,8
2017011423,0.003,0.6,0.025,0.011,55,9
2017011424,0.003,0.6,0.025,0.011,60,11
2017011501,0.003,0.6,0.025,0.011,46,12
2017011502,0.003,0.6,0.025,0.01,56,10
2017011503,0.003,0.6,0.023,0.011,50,8
2017011504,0.003,0.7,0.019,0.015,42,10
2017011505,0.003,0.8,0.012,0.018,48,13
2017011506,0.004,0.8,0.01,0.02,62,17
2017011507,0.004,0.8,0.006,0.026,51,17
2017011508,0.004,0.8,0.006,0.026,45,15
2017011509,0.005,0.9,0.007,0.026,41,16
2017011510,0.005,0.8,0.012,0.023,35,17
2017011511,0.004,0.7,0.02,0.018,34,15
2017011512,0.003,0.7,0.021,0.017,48,12
2017011513,0.004,0.7,0.02,0.019,33,10
2017011514,0.003,0.5,0.024,0.015,38,11
2017011515,0.003,0.6,0.025,0.014,33,10
2017011516,0.004,0.6,0.026,0.013,37,11
2017011517,0.004,0.5,0.024,0.016,45,12
2017011518,0.004,0.6,0.017,0.024,38,13
2017011519,0.004,0.8,0.011,0.031,32,13
2017011520,0.007,0.9,0.004,0.043,39,15
2017011521,0.011,1,0.006,0.039,39,15
2017011522,0.008,1.2,0.003,0.042,47,16
2017011523,0.006,1,0.002,0.039,53,20
2017011524,0.007,1.1,0.003,0.035,49,21
2017011601,0.006,1,0.004,0.03,48,22
2017011602,0.003,1,0.004,0.028,45,22
2017011603,0.004,1.1,0.007,0.024,48,24
2017011604,0.003,1,0.007,0.023,31,23
2017011605,0.003,1,0.004,0.027,31,22
2017011606,0.003,1,0.003,0.028,34,22
2017011607,0.003,1,0.002,0.033,38,20
2017011608,0.004,1.3,0.002,0.039,34,20
2017011609,0.006,1.4,0.003,0.042,47,21
2017011610,0.008,1.4,0.004,0.045,53,25
2017011611,0.005,1.1,0.007,0.038,62,30
2017011612,0.005,1.1,0.008,0.042,57,31
2017011613,0.006,1,0.009,0.042,59,30
2017011614,0.005,0.8,0.014,0.035,62,31
2017011615,0.004,0.7,0.019,0.029,52,27
2017011616,0.004,0.6,0.019,0.028,42,24
2017011617,0.003,0.6,0.019,0.026,43,23
2017011618,0.005,0.9,0.011,0.041,53,17
2017011619,0.007,1.4,0.003,0.058,57,18
2017011620,0.006,1.3,0.003,0.054,76,21
2017011621,0.005,1.1,0.002,0.047,75,28
2017011622,0.006,1.1,0.003,0.045,77,31
2017011623,0.005,1.1,0.003,0.042,68,30
2017011624,0.004,1,0.002,0.04,63,29
2017011701,0.004,1.1,0.002,0.038,58,27
2017011702,0.004,1.1,0.002,0.035,52,25
2017011703,0.004,1,0.002,0.033,58,24
2017011704,0.004,1,0.002,0.033,36,24
2017011705,0.005,1.1,0.002,0.035,42,24
2017011706,0.004,1.1,0.002,0.036,53,25
2017011707,0.004,1.1,0.002,0.037,52,25
2017011708,0.005,1.3,0.002,0.044,57,27
2017011709,0.006,1.5,0.003,0.048,68,34
2017011710,0.008,1.6,0.003,0.046,82,39
2017011711,0.005,1.2,0.004,0.043,60,40
2017011712,0.005,1.1,0.005,0.042,56,35
2017011713,0.006,1.3,0.005,0.05,74,37
2017011714,0.004,1,0.006,0.046,80,38
2017011715,0.004,1,0.006,0.049,76,37
2017011716,0.005,1,0.005,0.051,69,36
2017011717,0.004,0.8,0.006,0.047,61,32
2017011718,0.007,1.1,0.003,0.055,68,30
2017011719,0.012,1.7,0.003,0.067,81,33
2017011720,0.008,1.4,0.003,0.062,78,37
2017011721,0.007,1.4,0.002,0.057,82,39
2017011722,0.007,1.3,0.002,0.054,89,38
2017011723,0.006,1.4,0.002,0.052,71,40
2017011724,0.005,1.3,0.003,0.049,70,42
2017011801,0.004,1.3,0.002,0.043,71,40
2017011802,0.004,1.2,0.002,0.04,59,38
2017011803,0.004,1.2,0.002,0.04,62,40
2017011804,0.005,1.1,0.002,0.041,62,37
2017011805,0.006,1.1,0.002,0.042,46,33
2017011806,0.005,1.2,0.002,0.044,56,32
2017011807,0.007,1.4,0.002,0.048,57,32
2017011808,0.006,1.5,0.002,0.051,81,39
2017011809,0.008,1.7,0.002,0.055,95,44
2017011810,0.01,1.6,0.003,0.047,95,51
2017011811,0.009,1.4,0.003,0.047,92,54
2017011812,0.009,1.9,0.003,0.064,108,59
2017011813,0.008,1.7,0.003,0.061,121,64
2017011814,0.008,1.4,0.005,0.051,115,67
2017011815,0.009,1.2,0.012,0.045,108,67
2017011816,0.01,1.2,0.016,0.042,116,65
2017011817,0.01,1.3,0.007,0.056,130,63
2017011818,0.011,1.6,0.003,0.065,132,66
2017011819,0.012,1.8,0.002,0.068,136,69
2017011820,0.013,1.7,0.002,0.066,148,71
2017011821,0.011,1.8,0.002,0.062,146,74
2017011822,0.008,1.7,0.002,0.058,153,77
2017011823,0.005,1.5,0.002,0.05,156,80
2017011824,0.005,1.5,0.002,0.047,141,82
2017011901,0.005,1.6,0.002,0.044,122,84
2017011902,0.004,1.6,0.002,0.042,120,85
2017011903,0.004,1.5,0.002,0.039,136,83
2017011904,0.004,1.6,0.002,0.038,134,81
2017011905,0.003,1.7,0.002,0.039,130,78
2017011906,0.004,1.6,0.002,0.041,127,77
2017011907,0.004,1.5,0.002,0.042,136,78
2017011908,0.005,1.6,0.002,0.048,139,78
2017011909,0.005,1.8,0.002,0.051,157,80
2017011910,0.006,1.4,0.003,0.045,154,86
2017011911,0.009,1.5,0.005,0.044,135,86
2017011912,0.008,1.5,0.006,0.052,146,87
2017011913,0.006,1.2,0.009,0.049,147,91
2017011914,0.005,1,0.015,0.039,155,91
2017011915,0.005,0.9,0.017,0.042,129,84
2017011916,0.004,0.8,0.023,0.039,121,77
2017011917,0.004,0.8,0.02,0.045,90,67
2017011918,0.005,0.9,0.01,0.058,97,60
2017011919,0.009,1.5,0.003,0.073,98,57
2017011920,0.005,0.7,0.023,0.031,111,58
2017011921,0.006,0.8,0.019,0.035,80,52
2017011922,0.01,1.1,0.003,0.06,94,51
2017011923,0.009,1.5,0.003,0.055,106,52
2017011924,0.009,1.6,0.004,0.051,91,54
2017012001,0.008,1.3,0.005,0.047,94,52
2017012002,0.009,1.2,0.008,0.04,91,50
2017012003,0.008,1,0.021,0.024,78,48
2017012004,0.005,1,0.018,0.026,69,47
2017012005,0.005,0.9,0.023,0.02,66,46
2017012006,0.007,1.2,0.011,0.035,67,40
2017012007,0.005,1.1,0.011,0.033,65,38
2017012008,0.004,1,0.019,0.023,66,38
2017012009,0.004,0.9,0.013,0.035,57,36
2017012010,0.005,0.9,0.019,0.028,46,32
2017012011,0.004,0.9,0.022,0.023,44,28
2017012012,0.004,0.7,0.026,0.017,41,27
2017012013,0.004,0.7,0.029,0.015,54,25
2017012014,0.003,0.7,0.029,0.015,54,26
2017012015,0.004,0.7,0.031,0.014,50,26
2017012016,0.004,0.7,0.031,0.016,50,25
2017012017,0.003,0.7,0.031,0.017,31,25
2017012018,0.004,0.7,0.027,0.022,,25
2017012019,0.003,0.7,0.025,0.023,,24
2017012020,0.003,0.7,0.026,0.022,,23
2017012021,0.003,0.7,0.028,0.018,,22
2017012022,0.003,0.6,0.026,0.019,,18
2017012023,0.003,0.7,0.025,0.02,,16
2017012024,0.003,0.6,0.029,0.014,,16
2017012101,0.003,0.7,0.025,0.016,,13
2017012102,0.005,1,0.02,0.02,,11
2017012103,0.004,0.9,0.015,0.023,,14
2017012104,0.004,1,0.011,0.025,,18
2017012105,0.004,1,0.011,0.024,,20
2017012106,0.003,0.8,0.012,0.025,,21
2017012107,0.003,0.8,0.008,0.032,,19
2017012108,0.005,0.9,0.005,0.038,,18
2017012109,0.006,0.9,0.008,0.036,,19
2017012110,0.005,1.1,0.007,0.042,,20
2017012111,0.004,0.9,0.016,0.029,,22
2017012112,0.004,0.8,0.021,0.024,,20
2017012113,0.005,0.9,0.017,0.03,,18
2017012114,0.004,0.8,0.025,0.021,,18
2017012115,0.002,0.6,0.034,0.012,,15
2017012116,0.002,0.5,0.033,0.012,,12
2017012117,0.002,0.7,0.03,0.015,,16
2017012118,0.002,0.7,0.033,0.012,29,15
2017012119,0.002,0.7,0.03,0.013,37,12
2017012120,0.002,0.7,0.031,0.013,36,13
2017012121,0.004,0.9,0.027,0.018,32,13
2017012122,0.007,1,0.023,0.022,26,14
2017012123,0.007,1,0.017,0.03,34,16
2017012124,0.004,0.8,0.027,0.016,30,16
2017012201,0.003,0.8,0.026,0.016,32,14
2017012202,0.004,0.8,0.029,0.014,46,16
2017012203,0.004,0.9,0.031,0.012,45,20
2017012204,0.004,0.9,0.029,0.012,50,22
2017012205,0.005,0.9,0.026,0.012,53,24
2017012206,0.006,0.9,0.025,0.014,64,29
2017012207,0.006,0.9,0.02,0.021,63,29
2017012208,0.005,0.9,0.018,0.023,56,27
2017012209,0.005,0.8,0.022,0.017,76,24
2017012210,0.004,0.8,0.025,0.014,67,22
2017012211,0.003,0.7,0.025,0.014,94,20
2017012212,0.003,0.7,0.027,0.012,97,18
2017012213,0.003,0.7,0.03,0.011,76,14
2017012214,0.002,0.7,0.032,0.01,64,13
2017012215,0.003,0.7,0.032,0.01,62,12
2017012216,0.003,0.7,0.032,0.011,46,12
2017012217,0.003,0.7,0.031,0.012,38,12
2017012218,0.003,0.7,0.031,0.014,38,13
2017012219,0.003,0.7,0.031,0.014,36,11
2017012220,0.003,0.8,0.031,0.014,28,14
2017012221,0.004,0.8,0.029,0.015,35,16
2017012222,0.004,0.8,0.03,0.015,40,19
2017012223,0.004,0.9,0.029,0.015,49,20
2017012224,0.004,0.9,0.025,0.019,47,21
2017012301,0.004,1,0.019,0.024,66,22
2017012302,0.004,1,0.026,0.016,68,27
2017012303,0.006,0.9,0.025,0.016,70,30
2017012304,0.005,0.9,0.028,0.014,63,30
2017012305,0.005,0.9,0.03,0.012,51,31
2017012306,0.006,0.9,0.028,0.014,57,32
2017012307,0.006,1,0.023,0.019,58,34
2017012308,0.006,1,0.017,0.026,69,35
2017012309,0.006,1,0.018,0.025,60,35
2017012310,0.005,1,0.019,0.024,62,34
2017012311,0.005,1,0.018,0.026,70,35
2017012312,0.004,0.9,0.023,0.02,57,32
2017012313,0.003,0.8,0.031,0.015,50,28
2017012314,0.003,0.8,0.032,0.014,53,26
2017012315,0.003,0.8,0.033,0.015,37,24
2017012316,0.002,0.3,0.021,0.012,,23
2017012317,0.003,0.3,0.032,0.02,42,22
2017012318,0.003,0.3,0.029,0.023,45,21
2017012319,0.003,0.3,0.025,0.027,30,18
2017012320,0.003,0.5,0.016,0.038,30,16
2017012321,0.004,0.7,0.007,0.049,34,16
2017012322,0.005,0.8,0.003,0.05,49,18
2017012323,0.004,0.7,0.003,0.045,54,20
2017012324,0.004,0.7,0.005,0.041,50,22
2017012401,0.004,0.8,0.008,0.034,52,24
2017012402,0.003,0.8,0.008,0.032,41,24
2017012403,0.003,0.7,0.009,0.03,38,22
2017012404,0.004,0.7,0.007,0.032,29,22
2017012405,0.003,0.6,0.006,0.031,38,22
2017012406,0.004,0.6,0.005,0.033,42,22
2017012407,0.004,0.7,0.003,0.039,28,20
2017012408,0.006,0.8,0.003,0.044,35,20
2017012409,0.006,1,0.004,0.048,54,21
2017012410,0.011,1.5,0.004,0.052,42,28
2017012411,0.007,0.8,0.012,0.039,42,29
