Datetime,SO2,CO,O3,NO2,PM10,PM25
2017010101,0.005,0.9,0.002,0.029,61,31
2017010102,0.005,0.8,0.002,0.027,65,31
2017010103,0.006,1.3,0.002,0.031,56,34
2017010104,0.007,1,0.002,0.027,55,34
2017010105,0.008,1.2,0.002,0.024,55,32
2017010106,0.005,0.9,0.002,0.025,54,32
2017010107,0.005,1,0.002,0.026,41,28
2017010108,0.004,0.9,0.002,0.026,47,26
2017010109,0.004,0.8,0.003,0.026,45,25
2017010110,0.006,0.9,0.004,0.029,60,26
2017010111,0.007,0.8,0.007,0.027,49,27
2017010112,0.006,0.7,0.01,0.03,48,27
2017010113,0.006,0.6,0.022,0.026,66,27
2017010114,0.005,0.3,0.041,0.011,58,25
2017010115,0.004,0.3,0.043,0.01,60,24
2017010116,0.005,0.3,0.044,0.01,54,23
2017010117,0.005,0.3,0.039,0.015,58,23
2017010118,0.006,0.6,0.022,0.037,65,23
2017010119,0.007,0.9,0.004,0.051,76,27
2017010120,0.005,0.7,0.004,0.046,73,32
2017010121,0.005,0.7,0.004,0.042,81,36
2017010122,0.004,0.7,0.004,0.038,78,39
2017010123,0.004,0.8,0.002,0.039,70,41
2017010124,0.004,0.9,0.002,0.038,71,42
2017010201,0.004,0.8,0.004,0.03,81,42
2017010202,0.005,1.4,0.003,0.03,60,39
2017010203,0.005,0.9,0.005,0.027,61,37
2017010204,0.004,0.8,0.007,0.022,65,38
2017010205,0.004,0.8,0.006,0.024,68,39
2017010206,0.004,0.7,0.004,0.027,57,40
2017010207,0.006,0.9,0.002,0.034,56,41
2017010208,0.007,1.2,0.002,0.04,59,38
2017010209,0.01,1.5,0.002,0.045,68,36
2017010210,0.012,1.6,0.003,0.047,73,41
2017010211,0.011,1.6,0.003,0.052,90,48
2017010212,0.014,1.8,0.003,0.055,106,54
2017010213,0.008,1,0.005,0.047,82,56
2017010214,0.004,0.3,0.025,0.023,69,50
2017010215,0.004,0.2,0.034,0.014,,36
2017010216,0.003,0.2,0.038,0.013,40,28
2017010217,0.003,0.2,0.032,0.017,58,25
2017010218,0.004,0.3,0.026,0.022,62,24
2017010219,0.003,0.3,0.027,0.021,64,26
2017010220,0.003,0.3,0.029,0.019,62,27
2017010221,0.003,0.3,0.034,0.017,59,28
2017010222,0.004,0.5,0.033,0.02,82,33
2017010223,0.004,0.7,0.036,0.02,110,41
2017010224,0.004,0.8,0.04,0.016,137,55
2017010301,0.005,0.8,0.038,0.017,158,65
2017010302,0.005,1.3,0.013,0.039,151,75
2017010303,0.007,1.8,0.007,0.037,145,84
2017010304,0.006,1.3,0.007,0.034,149,81
2017010305,0.004,1.1,0.008,0.03,142,75
2017010306,0.004,1.1,0.003,0.034,141,71
2017010307,0.004,1.1,0.002,0.036,133,67
2017010308,0.005,1.1,0.002,0.039,131,60
2017010309,0.006,1.3,0.003,0.042,135,59
2017010310,0.007,1.2,0.004,0.042,127,65
2017010311,0.009,1.1,0.012,0.037,126,68
2017010312,0.008,0.7,0.03,0.02,103,64
2017010313,0.005,0.5,0.034,0.019,79,50
2017010314,0.004,0.4,0.041,0.014,80,37
2017010315,0.004,0.3,0.041,0.013,59,29
2017010316,0.004,0.3,0.039,0.014,53,26
2017010317,0.004,0.3,0.035,0.018,61,25
2017010318,0.005,0.4,0.03,0.023,74,26
2017010319,0.005,0.6,0.023,0.031,87,29
2017010320,0.006,0.9,0.003,0.055,86,36
2017010321,0.007,0.7,0.018,0.035,83,39
2017010322,0.006,0.8,0.005,0.046,75,37
2017010323,0.004,0.8,0.004,0.043,78,38
2017010324,0.004,0.7,0.006,0.038,82,40
2017010401,0.004,0.7,0.009,0.031,75,36
2017010402,0.005,0.9,0.009,0.029,66,33
2017010403,0.004,0.8,0.007,0.029,61,32
2017010404,0.005,0.8,0.005,0.032,46,28
2017010405,0.005,0.7,0.01,0.026,34,26
2017010406,0.006,0.8,0.004,0.036,,25
2017010407,0.008,1,0.002,0.044,52,24
2017010408,0.008,1.5,0.002,0.052,58,23
2017010409,0.012,2,0.003,0.062,70,28
2017010410,0.014,2,0.003,0.062,81,39
2017010411,0.012,1.7,0.003,0.066,93,44
2017010412,0.008,1.1,0.004,0.06,93,46
2017010413,0.008,1,0.019,0.046,87,47
2017010414,0.005,0.8,0.024,0.026,97,48
2017010415,0.005,0.7,0.028,0.032,103,46
2017010416,0.005,0.5,0.031,0.027,92,42
2017010417,0.006,0.7,0.021,0.038,77,35
2017010418,0.008,1,0.015,0.049,94,40
2017010419,0.007,1.2,0.003,0.064,104,44
2017010420,0.006,1.4,0.003,0.061,112,48
2017010421,0.004,1.3,0.002,0.053,124,54
2017010422,0.004,1.3,0.002,0.049,112,55
2017010423,0.004,1.2,0.002,0.046,104,56
2017010424,0.004,1.1,0.002,0.042,106,53
2017010501,0.004,1,0.003,0.039,87,49
2017010502,0.004,1,0.002,0.036,86,48
2017010503,0.004,1.1,0.003,0.033,66,47
2017010504,0.004,1,0.003,0.032,56,41
2017010505,0.004,1,0.002,0.032,53,34
2017010506,0.004,1,0.002,0.032,62,30
2017010507,0.005,1,0.002,0.034,75,28
2017010508,0.005,1.2,0.002,0.039,69,29
2017010509,0.007,1.4,0.003,0.044,88,35
2017010510,0.011,1.7,0.003,0.049,96,41
2017010511,0.009,1.4,0.004,0.051,104,45
2017010512,0.007,0.7,0.022,0.024,92,46
2017010513,0.004,0.5,0.028,0.018,64,37
2017010514,0.005,0.4,0.03,0.016,42,28
2017010515,0.004,0.4,0.031,0.014,37,17
2017010516,0.003,0.4,0.03,0.015,30,13
2017010517,0.004,0.4,0.027,0.016,22,11
2017010518,0.004,0.4,0.023,0.019,19,11
2017010519,0.003,0.4,0.023,0.018,22,12
2017010520,0.003,0.3,0.028,0.012,29,11
2017010521,0.003,0.3,0.031,0.01,20,10
2017010522,0.002,0.3,0.031,0.009,18,7
